customer_id,year_month,sales_agent_id,active,eligible_2m,dormancy_2m_confirmed,event_month_revenue,avg_discount,category_count,loyalty,digital
C00006,2024-03-01,A011,1,True,1,533.18,0.256025,2,0,False
C00007,2024-03-01,A006,1,True,1,910.01,0.201675,2,0,False
C00009,2024-02-01,A007,1,True,1,38.51,0.1248,1,1,False
C00023,2024-03-01,A007,1,True,1,522.36,0.176975,2,0,False
C00031,2024-01-01,A004,1,True,1,334.42,0.208575,3,0,True
C00032,2024-01-01,A005,1,True,1,411.05,0.2560333333333333,2,0,False
C00037,2024-03-01,A014,1,True,1,334.53,0.22235,2,1,True
C00046,2024-01-01,A001,1,True,1,121.1,0.1877333333333333,2,0,False
C00047,2024-03-01,A004,1,True,1,119.5,0.3724,1,0,False
C00051,2024-04-01,A009,1,True,1,1137.71,0.2254285714285714,2,0,True
C00081,2024-04-01,A018,1,True,1,1582.36,0.173,3,1,False
C00086,2024-01-01,A017,1,True,1,671.52,0.2019333333333333,1,0,False
C00097,2024-03-01,A007,1,True,1,134.3,0.2233,2,0,False
C00105,2024-02-01,A001,1,True,1,483.98,0.22195,2,1,True
C00107,2024-01-01,A005,1,True,1,990.32,0.217,3,1,True
C00113,2024-03-01,A004,1,True,1,777.98,0.212,2,0,True
C00125,2024-01-01,A018,1,True,1,625.9000000000001,0.2082,2,1,False
C00134,2024-04-01,A006,1,True,1,1104.21,0.2355,2,0,False
C00135,2024-03-01,A014,1,True,1,1246.69,0.2020142857142857,2,1,True
C00138,2024-03-01,A014,1,True,1,1511.39,0.188775,2,1,True
C00143,2024-01-01,A001,1,True,1,251.58,0.20685,1,1,False
C00150,2024-02-01,A009,1,True,1,54.77,0.2401,1,1,True
C00154,2024-03-01,A004,1,True,1,377.71,0.1616,1,0,False
C00160,2024-03-01,A004,1,True,1,844.63,0.1917666666666666,2,1,True
C00176,2024-01-01,A011,1,True,1,347.08,0.21695,1,0,False
C00187,2024-04-01,A014,1,True,1,347.63,0.1949,2,1,True
C00191,2024-02-01,A004,1,True,1,747.98,0.2155249999999999,2,0,False
C00206,2024-04-01,A004,1,True,1,1725.48,0.204,3,1,True
C00217,2024-03-01,A015,1,True,1,529.44,0.2332333333333333,2,1,False
C00220,2024-01-01,A009,1,True,1,2106.18,0.1697818181818181,2,1,False
